,round,winner,year,player1,player2,total1,total2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,break1,break2,return1,return2,winner1,winner2,error1,error2,net1,net2,firstServe1,firstServe2
587,Final,Roger Federer,2004,Roger Federer,Marat Safin,113,93,8,3,2,5,75,63,201,209,178,187,28,67,45,32,40,19,28,41,68,55,53,49
588,semi,Roger Federer,2004,Roger Federer,Juan Carlos Ferrero,88,66,11,6,1,0,83,66,195,195,179,177,67,0,39,28,34,21,22,19,76,58,72,58
589,semi,Marat Safin,2004,Marat Safin,Andre Agassi,170,171,33,10,0,2,77,76,211,198,195,176,29,50,34,32,79,44,48,33,54,82,55,59
590,quarter,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Hicham Arazi,148,154,19,18,6,2,74,75,211,219,191,197,36,43,32,34,60,50,52,55,69,68,54,63
591,quarter,Roger Federer,2004,Roger Federer,David Nalbandian,125,119,20,5,3,2,83,68,200,185,181,167,42,27,34,33,50,26,55,30,79,57,60,65
592,quarter,Andre Agassi,2004,Andre Agassi,Sebastien Grosjean,45,30,4,4,0,1,75,64,191,201,163,185,38,0,53,30,10,14,8,22,100,57,67,56
593,quarter,Marat Safin,2004,Marat Safin,Andy Roddick,148,154,19,18,6,2,74,75,211,219,191,197,36,43,32,34,60,50,52,55,69,68,54,63
594,Fourth,Hicham Arazi,2004,Hicham Arazi,Mark Philippoussis,99,75,7,8,2,5,78,70,195,209,172,191,50,0,45,31,34,34,10,38,89,64,63,66
595,Fourth,Roger Federer,2004,Roger Federer,Lleyton Hewitt,123,107,14,5,4,5,74,66,200,200,179,175,38,14,40,33,53,17,41,29,60,41,59,65
596,Fourth,David Nalbandian,2004,David Nalbandian,Guillermo Canas,97,63,8,5,1,7,80,62,196,200,169,173,47,33,51,25,42,11,31,28,78,43,61,57
597,Fourth,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Andrei Pavel,133,117,11,17,4,3,75,62,198,204,175,178,31,33,39,30,53,34,40,34,86,59,60,60
598,Fourth,Andre Agassi,2004,Andre Agassi,Paradorn Srichaphan,112,87,5,7,3,5,89,69,193,201,172,182,21,13,41,26,31,39,28,44,79,50,59,63
599,Fourth,Marat Safin,2004,Marat Safin,James Blake,145,134,20,2,1,2,78,70,211,204,192,179,38,27,37,35,50,44,35,50,64,69,53,63
600,Fourth,Andy Roddick,2004,Andy Roddick,Sjeng Schalken,83,50,14,1,1,3,89,59,220,177,202,164,100,0,50,26,27,11,19,31,70,71,64,77
601,Fourth,Sebastien Grosjean,2004,Sebastien Grosjean,Robby Ginepri,112,90,4,3,2,5,77,61,201,193,175,174,75,60,43,31,36,30,28,50,71,60,58,64
602,Third,Roger Federer,2004,Roger Federer,Todd Reid,83,45,5,1,3,3,74,44,193,196,173,159,57,100,61,30,31,6,29,31,79,46,54,58
603,Third,Hicham Arazi,2004,Hicham Arazi,Albert Costa,137,121,10,12,1,3,73,73,193,195,165,177,83,17,40,38,53,40,40,56,75,54,59,57
604,Third,Andrei Pavel,2004,Andrei Pavel,Jiri Novak,180,180,15,7,4,5,70,69,201,188,176,174,40,43,40,39,73,56,60,55,70,77,67,58
605,Third,Guillermo Canas,2004,Guillermo Canas,Tim Henman,211,209,4,9,4,9,67,73,196,195,162,173,50,25,34,34,65,100,24,74,62,63,73,68
606,Third,David Nalbandian,2004,David Nalbandian,Wayne Ferreira,96,73,3,3,8,0,79,65,190,187,169,171,71,50,42,29,24,21,24,32,81,56,57,61
607,Third,Juan Carlos Ferrero,2004,Juan Carlos Ferrero,Joachim Johansson,138,117,14,19,3,7,84,69,196,225,176,195,33,25,37,28,35,55,17,52,75,59,64,69
608,Third,Lleyton Hewitt,2004,Lleyton Hewitt,Rafael Nadal,111,96,9,1,2,2,72,65,198,182,176,164,40,33,39,33,28,32,37,36,68,65,53,70
609,Third,Mark Philippoussis,2004,Mark Philippoussis,Mario Ancic,111,84,9,10,2,0,82,61,211,206,193,192,56,25,44,30,37,30,29,43,71,53,49,58
610,Third,James Blake,2004,James Blake,Olivier Patience,94,56,7,3,1,1,80,55,203,196,178,176,54,100,55,28,41,12,18,21,83,53,65,65
611,Third,Robby Ginepri,2004,Robby Ginepri,Nicolas Escude,90,77,10,7,4,4,72,73,193,188,173,175,50,14,39,34,32,34,22,30,38,63,61,66
612,Third,Andre Agassi,2004,Andre Agassi,Thomas Enqvist,88,56,9,5,3,6,83,60,190,201,171,190,78,20,54,33,23,19,21,46,100,56,59,46
613,Third,Marat Safin,2004,Marat Safin,Todd Martin,151,148,9,10,3,5,75,77,211,198,187,179,56,43,35,35,53,57,32,43,66,68,54,62
614,Third,Paradorn Srichaphan,2004,Paradorn Srichaphan,Gustavo Kuerten,96,76,6,7,2,2,76,74,200,203,180,174,50,67,40,28,49,20,22,20,81,60,63,62
